Year,Exchange Rate (1 USD to PKR),Pakistan Inflation Rate (%),Central Government Debt (%)
1970,4.76,5.35,35.01303795
1971,4.76,4.73,36.81027353
1972,11.01,5.18,98.3388097
1973,9.99,23.07,48.11330955
1974,9.99,26.66,42.1116969
1975,9.99,20.9,35.58308612
1976,9.99,7.16,39.74603473
1977,9.99,10.13,40.37359862
1978,9.99,6.14,40.08817112
1979,9.99,8.27,40.77024085
1980,9.99,11.94,36.90903184
1981,9.99,11.88,32.88516203
1982,11.85,5.9,37.45429181
1983,13.12,6.36,37.23518836
1984,14.05,6.09,37.02070675
1985,15.93,5.61,41.07734267
1986,16.65,3.51,47.76492106
1987,17.4,4.68,49.21084925
1988,18,8.84,49.87315241
1989,20.54,7.84,51.6979128
1990,21.71,9.05,53.54104768
1991,23.8,11.79,61.85295743
1992,25.08,9.51,59.14421567
1993,28.11,9.97,64.24787754
1994,30.57,12.37,64.82578439
1995,31.64,12.34,57.95867024
1996,36.08,10.37,58.18518983
1997,41.11,11.38,58.45707901
1998,45.05,6.23,59.49432061
1999,51.9,4.14,67.19998044
2000,51.9,4.37,68.39417363
2001,63.5,3.15,72.15155996
2002,60.5,3.29,67.57771904
2003,57.75,2.91,62.67975527
2004,57.8,7.44,56.2993988
2005,59.7,9.06,52.33882307
2006,60.4,7.92,48.39536999
2007,60.83,7.6,47.08248352
2008,81.1,20.29,51.8799269
2009,84.1,13.65,52.81980631
2010,85.75,12.94,54.51279547
2011,88.6,11.92,52.8184727
2012,96.5,9.68,56.72722409
2013,107.2,7.69,57.90355606
2014,103,7.19,57.05171583
2015,105.2,2.53,57.02067863
2016,104.6,3.77,60.80878111
2017,110.01,4.09,60.85596104
2018,139,5.08,64.81953026
2019,163.75,10.58,77.50451766
2020,168.88,9.74,79.5588403
2021,179.16,9.5,73.56157012
2022,225.4,19.87,75.75285521